Vq2JjMRJGiz,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",0.0,1.85
QhsbcHv2u4Y,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",0.0,1.85
eJeGfMDh4PC,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",0.0,1.85
KyrfR1gxs6h,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",0.0,1.85
8O33hXh3Are,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",8.0,1.85
ERM0DDiCaJ5,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",0.0,1.85
AdBLFupZvYr,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",0.0,1.85
cbtfacjNJv9,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",0.0,1.85
hiNrCVJx5BX,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",0.0,1.85
lO4iprzDnnW,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",10.0,1.85
xTgUjX9QF5J,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",0.0,1.85
RDKhWHfZL9u,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",0.0,1.85
cLebgLjzhHl,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",0.0,1.85
lqbDLRjUII5,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",0.0,1.85
lAjya1jDtP8,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",0.0,1.85
VpDDE45JCWh,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",9.0,1.85
tXvKkWfX0mU,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",0.0,1.85
Ykbn6wVzno4,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",10.0,1.85
Ycqu3vFJ1G3,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",0.0,1.85
jKuZpDzhiIV,"\"A\" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)",0.0,1.85
N6DIq4aWpI4,"\"Bazaar\": the Short-cut Cookbook",0.0,0.0
bwo9jnhH1hi,"\"I Remember Laura\": Laura Ingalls Wilder",9.0,6.333333333333333
Quym1xV18wH,"\"I Remember Laura\": Laura Ingalls Wilder",0.0,6.333333333333333
GDy7Np7VkGz,"\"I Remember Laura\": Laura Ingalls Wilder",9.0,6.333333333333333
NHHdZQ8lYja,"\"I Remember Laura\": Laura Ingalls Wilder",10.0,6.333333333333333
eStMxwn2ZrQ,"\"I Remember Laura\": Laura Ingalls Wilder",0.0,6.333333333333333
IDOpKLYxdlE,"\"I Remember Laura\": Laura Ingalls Wilder",10.0,6.333333333333333
qQsvKgB7qJR,"\"One Foot in the Grave\" (BBC)",5.0,7.666666666666667
dROnY500q9H,"\"One Foot in the Grave\" (BBC)",9.0,7.666666666666667
LpacjpcHM8F,"\"One Foot in the Grave\" (BBC)",9.0,7.666666666666667
giLOX00RbT1,'Romance of Paula Vaughn',0.0,5.0
qknQiygX78Y,'Romance of Paula Vaughn',10.0,5.0
vtIYpl6JqmV,03 NODDY AND HIS CAR,5.0,5.0
6Jzzx0Rdbr7,1 RAGGED RIDGE ROAD,0.0,0.0
Ql5na4twvsy,1 RAGGED RIDGE ROAD,0.0,0.0
c7BF4Qm9KwE,"1,001 Home Health Remedies for Seniors",0.0,0.0
5S0Wel7xNnq,"10,000 Dreams Interpreted: A Complete Guide to the Meaning of Your Dreams",5.0,5.0
